Player ID,Name,Role,Overseas,Batting Average,Strike Rate,Bowling Economy,Wickets,Catches,Composite Score
1,Shreyas Iyer,Batsman,No,32.6135452308802,134.027646279114,NA,NA,111,78.7150664991743
2,Nehal Wadhera,Batsman,No,24.96,134.8,NA,NA,10,54.92
3,Harnoor Singh,Batsman,No,10,89.28,NA,NA,1,31.984
4,Pyla Avinash,Batsman,No,20.25,117.39,NA,NA,2,45.742
5,Shashank Singh,Batsman,No,24.08,143.03,NA,NA,22,59.349
6,Vishnu Vinod,Wicket-Keeper,No,31.15,142.23,NA,NA,26,51.306
7,Prabhsimran Singh,Wicket-Keeper,No,31.22,145.76,NA,NA,32,54.44
8,Josh Inglis,Wicket-Keeper,Yes,30.4166498749874,149.523110785033,NA,NA,112,86.8712821070016
9,Arshdeep Singh,Bowler,No,NA,NA,8.41465009810334,306,52,192.317069980379
10,Yuzvendra Chahal,Bowler,No,NA,NA,7.7569452653978,460,84,291.24861094692
11,Vijaykumar Vyshak,Bowler,No,NA,NA,8.62,47,8,28.076
12,Yash Thakur ,Bowler,No,NA,NA,8.11,87,15,53.578
13,Kuldeep Sen,Bowler,No,NA,NA,8.93,32,6,18.614
14,Praveen Dubey,Bowler,No,NA,NA,7.17,24,15,15.966
15,Lockie Ferguson,Bowler,Yes,NA,NA,7.57840172786177,277,61,176.884319654428
16,Xavier Bartlett,Bowler,Yes,NA,NA,8.21571428571429,91,35,59.9568571428571
17,Harpreet Brar,All-Rounder,No,16.52,125.41,7.29,77,25,50.3125
18,Priyansh Arya,All-Rounder,No,33.7,166.56,2,1,6,34.709
19,Musheer Khan,All-Rounder,No,NA,NA,NA,NA,NA,NA
20,Suryansh Shedge,All-Rounder,No,43.66,251.92,9.27,8,4,50.976
21,Marcus Stoinis,All-Rounder,Yes,30.3213070485356,139.003623188406,8.93102469486233,203,100,108.437767770909
22,Glenn Maxwell,All-Rounder,Yes,28.4717296950632,154.660815939279,7.85214313802595,217,286,151.831840500855
23,Marco Jansen,All-Rounder,Yes,20.6313091156837,141.55672823219,8.18941504178273,128,63,76.5723950095711
24,Azmatullah Omarzai,All-Rounder,Yes,17.3223739325975,125.268432355047,8.27207465900933,137,53,73.9936508705054
25,Aaron Hardie,All-Rounder,Yes,25.6744963821521,130.598851517637,8.61169102296451,51,43,49.0472827208872
